name,code,num_of_movies
United States,USA,4024
United Kingdom,GBR,1064
France,FRA,648
Germany,DEU,564
Canada,CAN,554
India,IND,362
Japan,JPN,217
Spain,ESP,178
Australia,AUS,171
China,CHN,170
Italy,ITA,145
Belgium,BEL,117
Hong Kong,HKG,96
Denmark,DNK,85
Sweden,SWE,79
Ireland,IRL,78
Mexico,MEX,77
Turkey,TUR,74
South Korea,KOR,63
Switzerland,CHE,45
Hungary,HUN,43
Norway,NOR,43
Netherlands,NLD,42
Czech Republic,CZE,42
New Zealand,NZL,41
Russia,RUS,34
South Africa,ZAF,32
Romania,ROU,32
United Arab Emirates,ARE,31
Luxembourg,LUX,30
Argentina,ARG,28
Austria,AUT,24
Brazil,BRA,24
Bulgaria,BGR,23
Poland,POL,23
Thailand,THA,22
Finland,FIN,18
Taiwan,TWN,14
Iceland,ISL,12
Malta,MLT,10
Israel,ISR,10
Greece,GRC,10
Qatar,QAT,9
Singapore,SGP,9
Iran,IRN,9
Colombia,COL,9
Indonesia,IDN,8
Chile,CHL,8
Serbia,SRB,7
Portugal,PRT,7
Jordan,JOR,4
Croatia,HRV,4
Puerto Rico,PRI,4
Bosnia and Herzegovina,BIH,4
Cambodia,KHM,4
Ukraine,UKR,4
Lebanon,LBN,4
Isle Of Man,IMN,4
Monaco,MCO,3
Saudi Arabia,SAU,3
Tunisia,TUN,3
Slovenia,SVN,3
Cyprus,CYP,2
Kenya,KEN,2
Bahamas,BHS,2
Republic of North Macedonia,MKD,2
Bahrain,BHR,2
Philippines,PHL,2
Egypt,EGY,2
Panama,PAN,2
Palestine,PSE,2
Lithuania,LTU,2
Georgia,GEO,2
Estonia,EST,2
Uruguay,URY,1
Slovakia,SVK,1
Venezuela,VEN,1
Afghanistan,AFG,1
Latvia,LVA,1
Peru,PER,1
Iraq,IRQ,1
Angola,AGO,1
Bangladesh,BGD,1
British Virgin Islands,VGB,1
Cayman Islands,CYM,1
Ecuador,ECU,1
Guatemala,GTM,1
Pakistan,PAK,1
Algeria,DZA,1
Liechtenstein,LIE,1
Macao,MAC,1
Malawi,MWI,1
Malaysia,MYS,1
Mauritania,MRT,1
Vietnam,VNM,1